EmployeeName,Month,MonthlySalary,2017-09-01,2017-09-02,2017-09-03,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-09,2017-09-10,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-16,2017-09-17,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-23,2017-09-24,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,Advance Balance,Balance For Month,Total Salary
emp1,08_2017,6,2,5,6,0,8,1,2,2,4,2,5,2,3,6,8,1,5,8,7,0,6,8,6,3,3,8,9,2,0,1,5,8,7
emp1,09_2017,8,5,1,2,3,1,6,2,9,6,0,3,8,5,3,2,7,5,4,2,1,3,2,3,9,0,2,9,0,1,8,5,1,4
emp1,10_2017,6,2,5,6,0,8,1,2,2,4,2,5,2,3,6,8,1,5,8,7,0,6,8,6,3,3,8,9,2,0,1,5,8,7
emp1,11_2017,8,5,1,2,3,1,6,2,9,6,0,3,8,5,3,2,7,5,4,2,1,3,2,3,9,0,2,9,0,1,8,5,1,4
emp2,08_2017,8,9,1,6,6,5,4,8,0,9,4,1,8,7,6,2,2,9,4,2,5,9,2,0,5,0,6,5,4,7,6,6,8,0
emp2,09_2017,9,0,4,1,0,7,0,6,5,2,5,2,7,6,6,2,3,8,9,7,4,1,5,7,2,4,2,1,7,7,3,3,9,3
emp2,10_2017,6,2,5,6,0,8,1,2,2,4,2,5,2,3,6,8,1,5,8,7,0,6,8,6,3,3,8,9,2,0,1,5,8,7
emp2,11_2017,8,5,1,2,3,1,6,2,9,6,0,3,8,5,3,2,7,5,4,2,1,3,2,3,9,0,2,9,0,1,8,5,1,4
emp3,10_2017,6,2,5,6,0,8,1,2,2,4,2,5,2,3,6,8,1,5,8,7,0,6,8,6,3,3,8,9,2,0,1,5,8,7
emp3,11_2017,8,5,1,2,3,1,6,2,9,6,0,3,8,5,3,2,7,5,4,2,1,3,2,3,9,0,2,9,0,1,8,5,1,4
